Metropolitan area,population,winlossratio,MLB
Atlanta,5789700,0.5555555555555556,1
Baltimore,2798886,0.29012345679012347,1
Boston,4794447,0.6666666666666666,1
Chicago,9512999,0.48276906763614325,2
Cincinnati,2165139,0.41358024691358025,1
Cleveland,2055612,0.5617283950617284,1
Dallas–Fort Worth,7233323,0.41358024691358025,1
Denver,2853077,0.558282208588957,1
Detroit,4297617,0.3950617283950617,1
Houston,6772470,0.6358024691358025,1
Kansas City,2104509,0.35802469135802467,1
Los Angeles,13310447,0.5291221692039687,2
Miami–Fort Lauderdale,6066387,0.391304347826087,1
Milwaukee,1572482,0.588957055214724,1
Minneapolis–Saint Paul,3551036,0.48148148148148145,1
New York City,20153634,0.5462962962962963,2
Philadelphia,6070500,0.49382716049382713,1
Phoenix,4661537,0.5061728395061729,1
Pittsburgh,2342299,0.5093167701863354,1
San Diego,3317749,0.4074074074074074,1
San Francisco Bay Area,6657982,0.5246913580246914,2
Seattle,3798902,0.5493827160493827,1
St. Louis,2807002,0.5432098765432098,1
Tampa Bay Area,3032171,0.5555555555555556,1
Toronto,5928040,0.4506172839506173,1
"Washington, D.C.",6131977,0.5061728395061729,1
